Row.names	freq	prev	p.freq	p.prev	p	contaminant	Kingdom	Phylum	Class	Order	Family	Genus	Species
5c1ba642817bd1ddf8597f25204d7060	0.2766613463998725	125	NA	0.9999999927411201	0.9999999927411201	FALSE	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_necator
421a1900b2efe29f03bcb5ad6480dac7	0.15880671422261847	143	NA	0.9999999999999999	0.9999999999999999	FALSE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Davidiella	Davidiella_sp
9e349fb7bdd8fcedbd4e83bf1fee1df3	0.1198676622838869	138	NA	1	1	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	NA
b7d56027f65de48259ecde66b95a2247	0.07536749347885492	125	NA	0.999999999993053	0.999999999993053	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_sp
d287cf91453f5d7008bd42a04f647de6	0.043804966836684577	125	NA	0.9999999999999979	0.9999999999999979	FALSE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_hiascens
3e8cf843ae1e99d8a13f65659dcc103d	0.026522129591198186	114	NA	0.999999991870064	0.999999991870064	FALSE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_tenuissimum
7bc7be49481f0e8db7e0af0a4f42af78	0.015854407292373623	66	NA	0.9990358031340336	0.9990358031340336	FALSE	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_necator
37b6941a28c433a0c2bf5f2c3aa22714	4.60187230461765e-5	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans
ff6eb3d1a22535980a76e786da9736ed	0.010383172901549829	21	NA	0.9709902782574599	0.9709902782574599	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
b0701bfd58e42bb29095800ddbbfb332	0.010927765494520339	78	NA	0.9999864691589071	0.9999864691589071	FALSE	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Davidiella	Davidiella_sp
3ae8879284f367e40480c182a62781d2	0.006628498708072761	47	NA	0.9965766832506219	0.9965766832506219	FALSE	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_necator
5f0db78d4cf30baefcabed85bcd89bf6	0.004219763415829392	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus
b34ebcd161e04ed55de3628defa0302e	0.010098461740816005	74	NA	0.99996663111648	0.99996663111648	FALSE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_marculentus
b7d762e0025e48eb51a633acd1049d0c	0.009153234233930664	74	NA	0.99996663111648	0.99996663111648	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_sp
3982e99c02f30ad334dabf0948edb31d	0.005949350428948945	1	NA	NA	NA	FALSE	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp
38873758fe75fdd4d13d1a757ccc5ac9	0.005109671912372235	53	NA	0.9985508465900298	0.9985508465900298	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_vesicarium
72ae905faf3b2f8f3affcad976def038	0.006921318466501045	7	NA	0.11680072916330436	0.11680072916330436	TRUE	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Leratiomyces	Leratiomyces_erythrocephalus
1b9d5bcfd16519553607c4d27da4d952	0.004489378742415309	8	NA	0.4444937780295276	0.4444937780295276	TRUE	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
3ab142695abd7941fcba823fde528096	0.005265383889218308	75	NA	0.9999731879546884	0.9999731879546884	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_infectoria
d70dc017e080f1819d7239a8114e0cec	0.0036444217374832426	1	NA	NA	NA	FALSE	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Cinereomyces	Cinereomyces_sp
d49c5e9f65c67197f781281a339100b3	0.0036534335216621082	2	NA	0.11904761904761896	0.11904761904761896	TRUE	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
1214b3c00c1d1d04a7e078f0edef97c0	0.0043242703870135756	44	NA	0.9948760086516317	0.9948760086516317	FALSE	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neocatenulostroma	Neocatenulostroma_microsporum
8ece5be06c94963c2fab94acda4ac58d	0.0034216458530393285	40	NA	0.9985270054135427	0.9985270054135427	FALSE	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_vesicarium
d7c47d397c26fb5338abec1839888f5d	0.0033966609611753413	64	NA	0.9997607168211285	0.9997607168211285	FALSE	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_karalitana
