name,0,1,7,14,21
W1,16,5,22,7,
W2,,11,12,20,27
W3,8,3,15,36,25
CH1,,10,17,11,4
CH1,11,28,16,10,12
CH3,12,1,12,9,11
CL1,23,19,9,17,7
CL2,14,15,,18,14
CL3,12,,10,17,19
SH1,15,21,33,26,7
SH2,23,18,11,30,32
SH3,9,2,9,13,36
SL1,13,17,8,20,25
SL2,,14,28,26,15
SL3,26,16,,14,18
